id;data_of_create;is_name;name;path_file;price;brand_id;type_id
202;1636240452233;f;Смартфон BQ (Bright&Quick) 6022G Aura Blue;https://holod.ru/pics/140x150/91/765491.jpg;5399;57;2
203;1636240452243;f;Смартфон BQ (Bright&Quick) 5745L Clever Black Graphite 2/32 Gb;https:/img/yandex/express-nameplate-pict.png;5299;57;2
204;1636240452253;f;Смартфон BQ (Bright&Quick) 6022G Aura Dark-gray;https://holod.ru/pics/140x150/99/765499.jpg;3290;57;2
205;1636240452264;f;Смартфон BQ (Bright&Quick) 5016G Choice Темно-Синий;https://holod.ru/pics/140x150/81/689381.jpg;4390;57;2
206;1636240452273;f;Смартфон BQ (Bright&Quick) 5533G Fresh Graphite;https:/img/yandex/express-nameplate-pict.png;4390;57;2
207;1636240452283;f;Смартфон BQ (Bright&Quick) 5533G Fresh Night Blue;https://holod.ru/pics/140x150/01/765501.jpg;4390;57;2
208;1636240452293;f;Смартфон BQ (Bright&Quick) 5046L Choice LTE Wine Red;https:/img/yandex/express-nameplate-pict.png;4990;57;2
209;1636240452303;f;Смартфон BQ (Bright&Quick) 6645L Element Black Graphite;https://holod.ru/pics/140x150/99/689399.jpg;7599;57;2
210;1636240452314;f;Смартфон BQ (Bright&Quick) 6042L Magic E Deep Blue;https://holod.ru/pics/140x150/31/689231.jpg;6990;57;2
211;1636240452323;f;Смартфон BQ (Bright&Quick) 6430L Aurora Black;https://holod.ru/pics/140x150/77/757077.jpg;9990;57;2
212;1636240452333;f;Смартфон BQ (Bright&Quick) 6631G Surf Chameleon Blue;https://holod.ru/pics/140x150/79/757079.jpg;5790;57;2
213;1636240452344;f;Смартфон BQ (Bright&Quick) 5745L Clever Black Graphite;https://holod.ru/pics/140x150/65/765465.jpg;4990;57;2
214;1636240452354;f;Смартфон BQ (Bright&Quick) 6630L Magic L Black;https://holod.ru/pics/140x150/85/765485.jpg;7990;57;2
215;1636240452363;f;Смартфон BQ (Bright&Quick) 6022G Aura Red;https://holod.ru/pics/140x150/07/689307.jpg;5013;57;2
216;1636240452372;f;Смартфон BQ (Bright&Quick) 5047L Like Black;https://holod.ru/pics/140x150/97/757097.jpg;3699;57;2
217;1636240452382;f;Смартфон BQ (Bright&Quick) 5047L Like Dark Blue;https://holod.ru/pics/140x150/01/757101.jpg;3699;57;2
218;1636240452392;f;Смартфон BQ (Bright&Quick) 5016G Choice Винный Красный;https://holod.ru/pics/140x150/79/765479.jpg;3990;57;2
219;1636240463306;f;Смартфон Honor 30 8/128GB зелёный;https://holod.ru/pics/140x150/64/672564.jpg;3209;58;2
