id;description;title;device_id
8535;195.5x70.4x70.4;Габариты (ВxШxГ) (см):;1238
8536;антрацит;Цвет:;1238
8537;481;Холодильника (л) :;1238
8538;344;Холодильной камеры (л) :;1238
8539;137;Морозильной камеры (л) :;1238
8540;Италия;Страна-производитель:;1238
8541;194.5x60x67;Габариты (ВxШxГ) (см):;1239
8542;красное стекло;Цвет:;1239
8543;303;Холодильника (л) :;1239
8544;229;Холодильной камеры (л) :;1239
8545;74;Морозильной камеры (л) :;1239
8546;Литва;Страна-производитель:;1239
8547;192x70x71.2;Габариты (ВxШxГ) (см):;1240
8548;коричневое стекло;Цвет:;1240
8549;510;Холодильника (л) :;1240
8550;355;Холодильной камеры (л) :;1240
8551;155;Морозильной камеры (л) :;1240
8552;Турция;Страна-производитель:;1240
8553;192x70x71.2;Габариты (ВxШxГ) (см):;1241
8554;черное стекло;Цвет:;1241
8555;510;Холодильника (л) :;1241
8556;355;Холодильной камеры (л) :;1241
8557;155;Морозильной камеры (л) :;1241
8558;Турция;Страна-производитель:;1241
8559;201x59.5x66;Габариты (ВxШxГ) (см):;1242
8560;бежевый (мраморный);Цвет:;1242
8561;379;Холодильника (л) :;1242
8562;275;Холодильной камеры (л) :;1242
8563;104;Морозильной камеры (л) :;1242
8564;Турция;Страна-производитель:;1242
8565;176x55x58;Габариты (ВxШxГ) (см):;1243
8566;белый;Цвет:;1243
8567;274;Холодильника (л) :;1243
8568;207;Холодильной камеры (л) :;1243
8569;67;Морозильной камеры (л) :;1243
8570;Китай;Страна-производитель:;1243
8571;141.5x48.5x56;Габариты (ВxШxГ) (см):;1244
8572;белый;Цвет:;1244
8573;168;Холодильника (л) :;1244
8574;113;Холодильной камеры (л) :;1244
8575;55;Морозильной камеры (л) :;1244
8576;Китай;Страна-производитель:;1244
8577;200x59.5x66.7;Габариты (ВxШxГ) (см):;1245
8578;серебристое стекло;Цвет:;1245
8579;362;Холодильника (л) :;1245
8580;270;Холодильной камеры (л) :;1245
8581;92;Морозильной камеры (л) :;1245
8582;Китай;Страна-производитель:;1245
8583;189.7x59.5x66.7;Габариты (ВxШxГ) (см):;1246
8584;черное стекло;Цвет:;1246
8585;337;Холодильника (л) :;1246
8586;245;Холодильной камеры (л) :;1246
8587;92;Морозильной камеры (л) :;1246
8588;Китай;Страна-производитель:;1246
8589;201x59.5x65;Габариты (ВxШxГ) (см):;1247
8590;белый;Цвет:;1247
8591;379;Холодильника (л) :;1247
8592;275;Холодильной камеры (л) :;1247
8593;104;Морозильной камеры (л) :;1247
8594;Китай;Страна-производитель:;1247
8595;175x60x62.5;Габариты (ВxШxГ) (см):;1248
8596;красный;Цвет:;1248
8597;310;Холодильника (л) :;1248
8598;210;Холодильной камеры (л) :;1248
8599;100;Морозильной камеры (л) :;1248
8600;Россия;Страна-производитель:;1248
8601;192x60x62.5;Габариты (ВxШxГ) (см):;1249
8602;бежевый;Цвет:;1249
8603;345;Холодильника (л) :;1249
8604;210;Холодильной камеры (л) :;1249
8605;135;Морозильной камеры (л) :;1249
8606;Россия;Страна-производитель:;1249
8607;207x60x62.5;Габариты (ВxШxГ) (см):;1250
8608;бежевый;Цвет:;1250
8609;370;Холодильника (л) :;1250
8610;240;Холодильной камеры (л) :;1250
8611;130;Морозильной камеры (л) :;1250
8612;Россия;Страна-производитель:;1250
8613;190x60x62.5;Габариты (ВxШxГ) (см):;1251
8614;бежевый;Цвет:;1251
8615;340;Холодильника (л) :;1251
8616;240;Холодильной камеры (л) :;1251
8617;100;Морозильной камеры (л) :;1251
8618;Россия;Страна-производитель:;1251
8619;207x60x62.5;Габариты (ВxШxГ) (см):;1252
8620;бежевый;Цвет:;1252
8621;380;Холодильника (л) :;1252
8622;245;Холодильной камеры (л) :;1252
8623;135;Морозильной камеры (л) :;1252
8624;Россия;Страна-производитель:;1252
8625;165x60x62.5;Габариты (ВxШxГ) (см):;1253
8626;графит;Цвет:;1253
8627;300;Холодильника (л) :;1253
8628;240;Холодильной камеры (л) :;1253
8629;60;Морозильной камеры (л) :;1253
8630;Россия;Страна-производитель:;1253
8631;207x60x62.5;Габариты (ВxШxГ) (см):;1254
8632;металлик;Цвет:;1254
8633;380;Холодильника (л) :;1254
8634;245;Холодильной камеры (л) :;1254
8635;135;Морозильной камеры (л) :;1254
8636;Россия;Страна-производитель:;1254
8637;190x60x62.5;Габариты (ВxШxГ) (см):;1255
8638;бежевый;Цвет:;1255
8639;345;Холодильника (л) :;1255
8640;245;Холодильной камеры (л) :;1255
8641;100;Морозильной камеры (л) :;1255
8642;Россия;Страна-производитель:;1255
8643;192x60x62.5;Габариты (ВxШxГ) (см):;1256
8644;металлик;Цвет:;1256
8645;345;Холодильника (л) :;1256
8646;210;Холодильной камеры (л) :;1256
8647;135;Морозильной камеры (л) :;1256
8648;Россия;Страна-производитель:;1256
8649;190x60x62.5;Габариты (ВxШxГ) (см):;1257
8650;красный;Цвет:;1257
8651;340;Холодильника (л) :;1257
8652;240;Холодильной камеры (л) :;1257
